window,mean,median,std,iqr,start_index,class
window0,306.03000000000003,297.9,115.15815340485753,170.8,0,DUP
window1,305.26000000000005,315.3,118.04903382846206,182.275,100,DUP
window2,300.61,301.1,109.08318932689023,162.475,200,DUP
window3,314.0,307.3,108.02750564939606,166.225,300,DUP
window4,309.24,315.1,114.68609300740847,185.75,400,DUP
window5,317.22,312.5,111.7582390114562,171.45,500,DUP
window6,309.36,311.85,113.66454573770083,177.825,600,DUP
window7,301.95,302.95,98.5852614080593,145.85,700,DUP
window8,319.85,313.25,106.28706806832334,156.05,800,DUP
window9,304.33000000000004,312.6,119.64836488916117,202.325,900,DUP
window10,280.49,286.75,109.7310335129713,152.425,1000,DUP
window11,294.96999999999997,294.2,113.09021897704437,173.925,1100,DUP
window12,297.50000000000006,293.55,110.13022647731887,149.875,1200,DUP
window13,323.71,319.85,95.20601434716615,138.8,1300,DUP
window14,293.58000000000004,290.15,100.48150662664987,162.15,1400,DUP
window15,312.69,314.25,107.17782881035464,150.75,1500,DUP
window16,336.52,337.5,106.46374136496259,168.425,1600,DUP
window17,291.37,272.8,113.62027982541079,184.525,1700,DUP
window18,311.15,317.6,97.77277002267572,129.875,1800,DUP
window19,308.52,310.5,107.97929716703277,176.925,1900,DUP
window20,19.93,19.85,0.8431997069765969,1.55,2000,NOR
window21,20.080000000000002,19.95,0.7681036527628982,1.3,2100,NOR
window22,20.04,20.2,0.7314263930583198,1.05,2200,NOR
window23,20.13,20.25,0.7655144571584781,1.225,2300,NOR
window24,19.880000000000003,19.85,0.761139358077493,1.2,2400,NOR
window25,20.009999999999998,19.95,0.7371375929959203,1.275,2500,NOR
window26,19.919999999999998,19.95,0.7871075785236112,1.325,2600,NOR
window27,20.05,20.05,0.7417849066645412,1.3,2700,NOR
window28,19.910000000000004,20.0,0.7105530096262853,1.0,2800,NOR
window29,19.950000000000003,19.95,0.7565547292318479,1.175,2900,NOR
window30,19.96,19.95,0.780074266411147,1.175,3000,NOR
window31,19.83,19.75,0.7639691350949176,1.25,3100,NOR
window32,19.91,19.95,0.7654871510055916,1.3,3200,NOR
window33,20.160000000000004,20.3,0.7729596582019276,1.175,3300,NOR
window34,20.009999999999998,20.05,0.7658364148356033,1.2,3400,NOR
window35,20.080000000000002,20.1,0.7823727038794014,1.3,3500,NOR
